ID,SPEAKER,CONVERSATION,,CATALAN,FRENCH,GERMAN,SPANISH,PTBR,RUSSIAN,JAPANESE,KOREAN,CHINESE (SIMPLIFIED),CHINESE (TRADITIONAL)
295,Mouse,Final Boss Intro,,Després de tantes i tantes adversitats...,tous les pièges que tu as déjoués...,"alle Widrigkeiten, die du überwunden hast ...",todas las adversidades a las que te has enfrentado...,e obstáculos que você superou...,весь этот сонм препятствий...,おまえが打ち倒してきた敵はすべて...,네가 극복한 모든 역경들은 말이야...,击败过的一个个敌人...,擊敗過的一個個敵人...
296,Mouse,Final Boss Intro,,No era res més que una sèrie de proves.,Tout ça n'était qu'une série de tests,"Sie waren nur eine Reihe von Experimenten,",Solo eran una serie de experimentos,"Eram uma série de experimentos,","Все это было экспериментом, призванным выяснить,",おまえが優れた器か見さだめるための...,단지 일련의 실험일 뿐이었어.,它们只不过是一系列实验，,它們只不過是一系列實驗，
297,,Final Boss Intro,,Per comprovar si eres un bon receptacle.,pour déterminer si tu ferais un hôte convenable...,"die zeigen sollten, ob du ein geeignetes Gefäß abgeben würdest ...",para ver si eras un recipiente adecuado...,para verificar se você era um receptáculo viável...,подойдешь ли ты на роль сосуда...,実験にすぎなかったのだ。,네가 그릇의 자질이 있는지 확인해보고자 말이지...,测试你作为宿主是否合格...,測試你作為宿主是否合格...
298,Mouse,Final Boss Intro,,I has demostrat ser... molt forta i molt resistent.,Et tu as prouvé ta valeur. Tu es forte et résistante.,Und du hast dich als ... sehr stark und widerstandsfähig erwiesen.,Y has demostrado ser... muy fuerte y resistente.,E você provou ser... Muito forte e muito resiliente.,"И твое тело, должен признать... Очень сильное, очень крепкое.",そしておまえは強い体と...折れない心を証明してみせた。,"그리고 너는 증명했어... 아주 강하고, 굳센 정신력을 지니고 있어.",最终结果表示...你很强大，很有韧性。,最終結果表示...你很強大，很有韌性。
299,Mouse,Final Boss Intro,,"Seràs el receptacle perfecte pel meu pobre gos moribund, Barkley.","Tu feras un hôte parfait pour mon pauvre chien, Barkley.","Du wirst der ideale Wirt für meinen armen Hund Barkley, der im Sterben liegt.","Serás el receptáculo perfecto para Rufo, mi pobre perro moribundo.","Você será o receptáculo perfeito para o meu pobre cão moribundo, o Ralf.","Ты идеально подходишь для того, чтобы вместить сознание бедного Тяфки.",死にかけているわが愛犬、バウディの 完ぺきなホストとなれよう。,"너라면 나의 불쌍한 죽어가는 개, 멍뭉이를 위한 완벽한 그릇이 될 수 있겠어.",你能为我可怜的、奄奄一息的狗狗汪科利当一个完美的宿主。,你能為我可憐的、奄奄一息的狗狗汪科利當一個完美的宿主。
300,Mouse,Final Boss Intro,,"Està malalt, saps, i porta així molt de temps.",Il est malade depuis très longtemps.,"Er ist schon seit Langem krank, weißt du.",Está enfermo desde hace mucho tiempo.,"Ele está doente, sabe, já faz muito tempo.","Тяфка неизлечимо болен, видишь ли, давно уже болен.",バウディはずっと前から病気でな。,"멍뭉이는 몸이 안 좋고, 나이도 많이 먹었거든.",他病了，你懂吧？病了好久了。,他病了，你懂吧？病了好久了。
301,Mouse,Final Boss Intro,,Volia preservar la seva vida a un tub hidroglobular però...,"Je l'ai maintenu en vie dans un tube hydroglobulaire, mais...","Ich habe ihn in einer hydroglobulären Röhre am Leben erhalten, doch ...","He preservado su vida en un tubo hidroglobular, pero...","Tentei mantê-lo vivo em um Tubo Hidroglobular, mas...","Я поддерживаю в нем подобие жизни, поместив в гидроглобулярную колбу, но...",培養チューブで延命をはかってきたが...,내가 그 생명을 생체 보존관에 보존해왔지만...,我一直把他存放在水文球形管中延续生命，但是...,我一直把他存放在水文球形管中延續生命，但是...
302,Mouse,Final Boss Intro,,Sabia que tard o d'hora hauria de cercar una altra solució.,"Je savais que tôt ou tard, il faudrait que je trouve une autre solution.","ich wusste, dass das früher oder später nicht reichen würde.","Sabía que, tarde o temprano, eso no sería suficiente.","Eu sabia que, mais cedo ou mais tarde, não seria o suficiente.",Однажды искра его жизни угаснет.,恐れていたとおり、十分ではなかった。,조만간 이것도 충분하지 않으리라는 걸 알았어.,我知道早晚有一天，这些方法都会失效。,我知道早晚有一天，這些方法都會失效。
303,Mouse,Final Boss Intro,,Una altra solució...,Une autre solution...,Es würde nicht reichen ...,No sería suficiente...,Não seria o suficiente...,Однажды он умрет...,十分では...,충분하지 않았어...,怎么也不够...,怎麼也不夠...
304,Mouse,Final Boss Intro,,Una altra SOLUCIÓ!,Une autre solution !,Es würde nicht REICHEN ...,¡No sería SUFICIENTE!,Não seria o SUFICIENTE!,Он УМРЕТ!,なかったのだ！,충분하지 않았지!,怎么也永远不会够！,怎麼也永遠不會夠！
305,Mouse,Final Boss Intro,,Vaig accedir a la base de dades de l'exèrcit i vaig trobar-vos a tu i a en Gary.,J'ai donc infiltré la base de données militaire et je vous ai trouvés.,Also habe ich auf die Militärdatenbank zugegriffen und dich und Gary gefunden.,Así que accedí a la base de datos militar y os encontré a Gary y a ti.,Então eu acessei o banco de dados militar e achei você e o Gary.,Поэтому я прошерстил армейскую базу данных и нашел вас с Гэри.,そこで軍のデータベースへ侵入し、 おまえとゲイリーを見つけた。,그래서 나는 군사 데이터베이스에 접속해서 너와 게리를 찾아냈어.,所以我侵入了军用数据库，找到了你和盖瑞。,所以我侵入了軍用資料庫，找到了你和蓋瑞。
306,Mouse,Final Boss Intro,,Tots dos receptacles adequats per mi i per en Barkley.,Gary et toi étiez les hôtes parfaits pour Barkley et moi.,Ihr beide seid geeignete Wirte für mich und für Barkley.,Receptáculos adecuados para mí y para Rufo.,Vocês dois são receptáculos ideais para mim e para o Ralf.,Идеальные донорские тела для нас с Тяфкой.,わたしとバウディ、 どちらにとっても適格なホストを。,둘 다 나와 멍뭉이를 위한 그릇이 되기에 알맞았지.,你们简直是我和汪科利最合适的宿主了。,你們簡直是我和汪科利最合適的宿主了。
307,Mouse,Final Boss Intro,,"ARA no rieu pas, eh?","Alors, toujours envie de rire ?","JETZT ist dir das Lachen wohl vergangen, was?","AHORA no os reís, ¿verdad?","Não está mais rindo AGORA, não é?","Хорошо смеется тот, кто смеется последним, а?",笑ってしまうだろう？,이제 못 웃겠지?,现在你可笑不出来了，是不是？,現在你可笑不出來了，是不是？
308,Mouse,Final Boss Intro,,Quan tingui el cos d'un soldat i la ment de...,Lorsque j'aurai le corps d'un soldat et le cerveau de...,Wenn ich den Körper eines Soldaten habe und den Geist von ...,Cuando tenga el cuerpo de un soldado y la mente de...,Quando eu tiver o corpo de um soldado e a mente de...,Теперь у меня будет тело солдата и мозг...,兵士の肉体と...,내가 군인의 몸과...,当我拥有了军人的躯体，意识又是...,當我擁有了軍人的軀體，意識又是...
309,Mouse,Final Boss Intro,,Algú que ha matat a tanta... tanta gent...,De quelqu'un qui a tué... tellement de gens...,"jemandem, der ... so viele Menschen getötet hat ...",Alguien que ha matado... a tanta gente...,Alguém que já matou... tanta gente...,Мозг убийцы... Я ведь стольких...,大勢を...殺してきた者の心が...,수많은 사람을 죽인 자의 마음을 가지게 된다면...,又是个杀人如麻之人...手上无数条人命...,又是個殺人如麻之人...手上無數條人命...
310,Mouse,Final Boss Intro,,Tanta...,Tellement...,so viele ...,A tanta...,Tanta...,Стольких убил...,ひとつになるのだ...,수많은 사람을...,无数条...,無數條...
311,Mouse,Final Boss Intro,,Imagina la meva FELICITAT quan vaig descobrir...,Imagine mon bonheur quand j'ai vu,"Stell dir vor, wie ERFREUT ich war, als ich herausfand ...",Imaginad mi REGOCIJO cuando descubrí...,Imagine minha ALEGRIA quando eu descobri...,"О, как же я был СЧАСТЛИВ...",ゲイリーが巡回で近くを通ると 知ったとき...,게리의 순찰 경로가 이 구역을 통과한다는 걸 알게 됐을 때,想象一下我有多快乐，当我发现了...,想像一下我有多快樂，當我發現了...
312,Mouse,Final Boss Intro,,Que la ruta de patrulla d'en Gary passava per aquest sector!,que Gary allait passer dans ce secteur !,dass Garys Patrouille ihn durch diesen Sektor führt!,¡que la ruta de patrulla de Gary estaba en este sector!,que a rota de patrulha do Gary passava por este setor!,"Когда узнал, что Гэри будет патрулировать этот сектор!",わたしはうれしくて叫んだよ！,얼마나 기뻤는지 몰라...,盖瑞的巡逻路线刚好经过这片区域！,蓋瑞的巡邏路線剛好經過這片區域！
313,Mouse,Final Boss Intro,,Vaig reparar l'emissor galàctic...,J'ai réparé le transmetteur galactique,Ich habe den galaktischen Sender repariert,Reparé el transmisor galáctico,"Eu consertei o Transmissor Galáctico,","Я починил межгалактический передатчик,",そこで発信機を修理し...,"난 은하 방송 수신기를 수리해서,",我修好了星际广播器，,我修好了星際廣播器，
314,Mouse,Final Boss Intro,,Vaig enviar una alerta de seguretat...,et j'ai envoyé une alerte de sécurité.,und eine Sicherheitswarnung gesendet.,"y envié una alerta de seguridad,","e enviei um alerta de segurança,","отправил С.О.С.,",SOSを送ったのだ。,보안 경보를 보냈어.,发送了一条安全警告，,發送了一條安全警告，
315,Mouse,Final Boss Intro,,I aleshores...,Ensuite...,Und dann ...,y entonces...,e então...,и...,そしたら...,그리고...,然后...,然後...
316,Mouse,Final Boss Intro,,"Vosaltres, imbècils, us vau estavellar directament al meu pati posterior.",Vous avez été assez idiots pour vous écraser juste à côté d'ici.,habt ihr Schwachköpfe eine Bruchlandung in meinem Hinterhof hingelegt.,Estrellasteis vuestra nave en mi patio trasero como dos imbéciles.,"Vocês, imbecis, caíram direitinho na minha armadilha.","И вы, несчастные идиоты, попали прямо ко мне в лапы.",愚かなおまえたちが、わが裏庭に 落っこちてきた。,너희 멍청이들이 내 뒤뜰에 우주선을 들이박았지.,你们两个蠢货直接开船砸到了我的后院儿里。,你們兩個傻子直接開船撞上了我的後院。
317,Mouse,Final Boss Intro,,Només un soldat curt de gambals es quedaria atrapat a la seva pròpia nau.,"Il a fière allure, le soldat coincé dans son vaisseau.",Natürlich klemmt sich der schwachköpfige Soldat in seinem eigenen Schiff ein.,Solo un soldado zoquete se quedaría encerrado en su propia nave.,Só mesmo um soldado estúpido conseguiria ficar preso dentro da própria nave.,Этот неандерталец даже из корабля выбраться не сумел.,マヌケな兵士は船内に囚われていたが...,멍청하게도 게리는 자신의 배 안에 갇히고 말았지만.,只留下那个半吊子士兵被困在自己的船里动弹不得。,只留下那個半吊子士兵被困在自己的船裡動彈不得。
318,Mouse,Final Boss Intro,,Per sort el seu cos no va prendre gaire mal.,Heureusement que son corps n'a pas trop souffert.,Glücklicherweise wurde sein Körper dabei nicht all zu stark beschädigt.,"Por suerte, su cuerpo no sufrió muchos daños.","Felizmente, ainda é possível aproveitar o corpo dele.","Хорошо еще, что не покалечился в процессе.",さいわい軽傷だった。,다행히도 게리의 몸이 너무 심하게 다치진 않았어.,幸好他的身体没受到太多损伤。,幸好他的身體沒受到太多損傷。
319,Mouse,Final Boss Intro,,I ara vaig a transferir la meva consciència al cos d'en Gary.,"Maintenant, je vais transférer ma conscience dans le corps de Gary",Ich werde nun mein Bewusstsein in Garys Körper übertragen,Ahora voy a transferir mi consciencia al cuerpo de Gary,"Agora vou transferir minha consciência para o corpo do Gary,","Узри же, как я переношу свой разум в тело Гэри,",今からわが意識をゲイリーの肉体へ 転送し、,이제 나는 내 의식을 게리의 몸으로 옮길 거야.,我现在要把我的意识传送进盖瑞的身体，,我現在要把我的意識傳送進蓋瑞的身體，
320,Mouse,Final Boss Intro,,I FINALMENT podré desfer-me d'aquesta forma PATÈTICA.,et me débarrasser ENFIN de cette enveloppe minable.,und ENDLICH diese armselige Form loswerden.,y POR FIN me libraré de esta forma patética.,e FINALMENTE vou me livrar desta forma patética.,"узри, как я отвергаю свое нынешнее тело.",この哀れな姿とたもとを分かつ。,드디어 이 한심한 모습에서 벗어날 수 있는 거지.,终于可以摆脱这可悲的肉体了。,終於可以擺脫這可悲的肉體了。
321,Mouse,Final Boss Intro,,I després faré el mateix per en Barkley amb el teu cos!,"Ensuite, je ferai la même chose avec Barkley et toi !",Danach werde ich mit deinem Körper dasselbe für Barkley tun!,¡Y luego haré lo mismo con Rufo y tú!,"Em seguida, farei o mesmo com o Ralf e o seu corpo!",А потом я поменяю местами вас с Тяфкой!,その次は、おまえを使って バウディを救うのだ！,"내가 끝나면, 그 다음은 똑같이 멍뭉이의 의식을 네 몸으로 옮길 테다!",然后，我还要把汪科利的意识放你身体里！,然後，我還要把汪科利的意識放你身體裡！
322,Mouse,Final Boss Intro,,Tothom se'n penedirà d'haver-me degradat...,Je leur ferai regretter ce qu'ils m'ont fait subir...,"Sie werden es alle bereuen, dass sie mich erniedrigt ...",Todos lamentarán haberme degradado...,Todos irão se arrepender de terem me subestimado...,"Все еще пожалеют, что смеялись надо мной...",みんな後悔するがいい、 わたしを見下し...,모두가 날 모욕하고...,所有人都会后悔当初降了我的职...,所有人都會後悔當初降了我的職...
323,Mouse,Final Boss Intro,,I de tractar-me com una rata fastigosa.,Ils m'ont traité comme une vermine.,und mich wie eine dreckige Ratte behandelt haben.,y haberme tratado como a una rata asquerosa.,e de me tratarem como um rato imundo.,"Я им покажу, кто здесь крыса.",汚いネズミのように扱ったことを。,추잡한 쥐 취급한 걸 후회하게 될 거야.,把我当肮脏的耗子看待。,把我當骯髒的老鼠看待。
324,Kiki,Final Boss Intro,,MEU!?,MIAOU ?,MIAU?!,¡¿MIAU?!,MIAU?!,МЯЯЯЯ!?,みゃおん！？,야옹!?,喵喵喵！？,喵喵喵！？
325,Mouse,Final Boss Intro,,"Que per què ho faig, preguntes?",Tu te demandes pourquoi je fais ça ?,"Warum ich das mache, fragst du?",¿Que por qué estoy haciendo esto?,"Por que estou fazendo isso, você deve estar se perguntando.","Возможно, ты хочешь спросить, зачем мне все это.",なぜ、こんなことをするのかって？,왜 이런 짓을 하냐고 묻는 건가?,你问我为什么这么做？,你問我為什麼這麼做？
326,Mouse,Final Boss Intro,,...,...,...,...,...,...,...,...,...,...
327,Mouse,Final Boss Intro,,Ja ni tan sols ho recordo.,Je ne m'en souviens même plus.,Ich kann mich nicht mal mehr daran erinnern.,Ya ni siquiera lo recuerdo.,Nem me lembro mais.,Но я уже и сам не помню.,もはや、何も、思い出せん。,이제 기억도 안 나는군.,我自己都记不起来了。,我自己都記不起來了。
328,Evil Gary,Final Boss Midpoint,,Ets aquí... Kiki.,Te voilà... Kiki.,Da bist du ... Kiki.,Ahí estás... Kiki.,Aí está você... Kiki.,"Что ж, Кики.",おまえか...キキ。,거기 있구나... 나비야.,你在这儿啊...琪琪。,你在這裡啊...琪琪。
329,Evil Gary,Final Boss Midpoint,,Doncs... veus aquest tub aquí dalt?,"Alors...  Tu vois ce tube, là-haut ?",Also gut ...  Siehst du diese Röhre da oben?,Bueno...  ¿Ves ese tubo de ahí arriba?,Bem...  Está vendo o tubo aí em cima?,"Видишь...  Видишь эту колбу, там, наверху?",さて...あのチューブが見えるか？,자...  위에 관이 보이니?,唔...看见上头的管子没？,嗯...看見上面的管子沒？
330,Evil Gary,Final Boss Midpoint,,Allà és on acabaràs descansant eternament.,C'est là que tu vas aller pour ton dernier repos.,Dort wirst du deine letzte Ruhe finden.,Ahí es donde encontrarás el descanso eterno.,É dentro dele que você vai tirar sua soneca final.,В ней ты и уснешь навсегда.,おまえが最後に眠る場所だ。,그곳에서 네 마지막 안식을 취하게 될 거다.,你最后就会安息在那里。,你最後就會安息在那裡。
331,Evil Gary,Final Boss Midpoint,,Encara no t'has cansat?,Tu n'es pas fatiguée ?,Bist du schon müde?,¿Estás cansada?,Já se cansou?,"Ты же устала, наверное?",疲れたか？,아직 안식을 취하기엔 안 피곤하다고?,累了没？,累了嗎？
332,Evil Gary,Final Boss Midpoint,,Creus que m'has guanyat?,Tu penses m'avoir vaincu ?,"Glaubst du etwa, du hast mich geschlagen?",¿Crees que me has vencido?,Acha que me venceu?,"Неужели ты думаешь, что победишь меня?",わたしに勝ったと？,네가 날 쓰러뜨렸다고 생각하는 거야?,你以为你打败我了？,你以為你打敗我了？
333,Evil Gary,Final Boss Midpoint,,Ha.  Com si em calgués cap vestit robòtic...,Ha.  Comme si j'avais besoin d'une combinaison...,Ha.  Als ob ich einen Mech brauchen würde ...,Ja.  Como si necesitara un meca...,Ha.  Eu nem preciso de uma armadura robótica...,Ха.  Мне не нужен робот...,ハッ。もはやマシンも必要ない...,하.  메크 따위가 뭐 대수라고...,哈。就好像我真需要一架机甲一样...,哈。就好像我真需要一架機甲一樣...
334,Evil Gary,Final Boss Midpoint,,Amb aquest físic... i aquests polzes...,"Avec ce corps... et ces pouces opposables,",Mit dieser vorzüglichen Statur ... und opponierbaren Daumen,"Con este cuerpo tan estupendo... y pulgares oponibles,","Com este físico tremendo... e polegares opositores,",Ведь у меня есть мощное тело и противостоящие большие пальцы.,このたくましい体と...器用な指が あれば...,이 멋진 몸에... 엄지 손가락 두 개만 있어도 충분한데 말이야...,瞧瞧这健美的体格...以及能抓握的拇指，,瞧瞧這健美的體格...以及能抓握的拇指，
335,Evil Gary,Final Boss Midpoint,,Podré desfer-me'n de tu a l'antiga.,je vais pouvoir t'éliminer à l'ancienne.,werde ich dich auf die altmodische Art erledigen.,acabaré contigo a la antigua usanza.,eu acabarei com você à moda antiga.,Я легко сокрушу тебя и так.,おまえをぶちのめすには十分だ。,오랜 방식으로 널 저 관에 넣어주마.,我将以传统的方式打败你。,我將以傳統的方式打敗你。
336,Evil Gary,Final Boss Midpoint,,Saluda la meva metralladora múltiple.,Je te présente mon dernier joujou.,Sag Hallo zu meiner neuesten Multigun.,Dile hola a mi última multiarma.,Diga olá para minha nova multiarma.,"Поздоровайся с моим новейшим изобретением, мультипушкой.",わが新型マルチガンにあいさつを。,내 최신형 멀티건에게 인사나 하라고.,跟我的最新产品多功能炮打个招呼吧。,跟我的最新產品多功能槍打個招呼吧。
337,Evil Gary,Final Boss Midpoint,,"Aprofita per acomiadar-te, ja que hi som.","Pour tout te dire, je crois qu'il est temps de se dire adieu.","Verabschiede dich doch auch gleich, wenn du schon dabei bist.","Y ya que estás, también deberías decirle adiós.","É melhor já ir dizendo adeus, também.",И заодно сразу попрощайся с жизнью.,ついでに別れも言っておけ！,"인사하는 김에, 작별 인사까지 하고 말이야.",顺便也告个别。,順便也告個別。
338,Evil Gary,Final Boss Outro,,"S'ha acabat, gata.","C'est fini, petite chatte.","Das war's, Katze.","Se acabó, gata.","Chegou a hora, felina.","Тебе конец, кошка.",終わりだ、ネコよ。,"이제 끝이다, 고양이.",就到这儿了，破猫。,就到這裡了，貓咪。
339,Evil Gary,Final Boss Outro,,No tens cap altra opció a part de rendir-te.,"Tu es coincée, tu devrais te rendre.","Dir bleibt nichts anderes übrig, als dich zu ergeben.",No tienes más opción que rendirte.,Sua única opção é se render.,Сдавайся.,おとなしく降参しろ。,네가 가진 선택권이라곤 항복뿐이야.,你别无选择，只能投降。,你別無選擇，只能投降。
340,Evil Gary,Final Boss Outro,,El teu receptacle ja està gairebé espatllat.,Ton enveloppe a été suffisamment endommagée.,Das Gefäß wurde schon genug beschädigt.,Tu receptáculo ha sufrido muchos daños.,Seu receptáculo já foi muito danificado.,"Сдавайся, пока твое тело не получило критических повреждений.",おまえの器はもう、傷だらけなのだ。,네 메크는 이미 충분히 망가졌어.,你的盔甲已经破烂不堪了。,你的盔甲已經破爛不堪了。
341,PC,Final Boss Outro,,ALERTA...,ALERTE...,ALARM ...,ALERTA...,ALERTA...,ТРЕВОГА...,警告、警告...,경고...,警告...,警告...
342,PC,Final Boss Outro,,Pertorbació detectada.,Perturbation détectée.,Störung entdeckt.,Perturbación detectada.,Distúrbio detectado.,Ситуация требует вмешательства.,戦闘が発生しています。,소란이 감지되었습니다.,检测到干扰。,檢測到干擾。
343,Evil Gary,Final Boss Outro,,"Ordinador, no m'interrompis.. La situació està controlada.","Ordinateur, ne m'interromps pas. La situation est sous contrôle.","Unterbrich mich nicht, Computer. Die Situation ist unter Kontrolle.","Computadora, no me interrumpas. La situación está controlada.","Computador, não me interrompa. A situação está sob controle.",Ситуация не требует вмешательства. Я более чем ее контролирую.,ジャマするな、コンピュータ。 すべて予定どおりだ。,"컴퓨터, 날 방해하지 마. 통제 하에 있는 상황이니까.",电脑，别来打扰我。一切都在控制中。,電腦，別來打擾我。一切都在控制中。
344,PC,Final Boss Outro,,Introdueix la paraula de pas per lliurar els tubs hidroglobulars.,Saisissez le mot de passe pour libérer les tubes hydroglobulaires.,Zur Freigabe der hydroglobulären Röhren bitte das Passwort eingeben.,Introduce la contraseña para liberar los tubos hidroglobulares.,Insira a senha para liberar os Tubos Hidroglobulares.,Для открытия гидроглобулярной колбы требуется пароль.,培養チューブを開放する パスワードをどうぞ。,생체 보존관을 해제하려면 암호를 입력해주세요.,请输入密码以释放水文球形管。,請輸入密碼以打開水文球形管。
345,Evil Gary,Final Boss Outro,,JA N'HI HA PROU! No requereixo la teva assistència.,ÇA SUFFIT ! Je n'ai pas besoin de toi.,GENUG! Deine Hilfe wird hier nicht gebraucht.,¡BASTA! Aquí no necesito tu ayuda.,JÁ BASTA! Sua ajuda não é necessária aqui.,"ХВАТИТ! Мне не нужна твоя помощь, компьютер!",やめろ！おまえの助けは必要ない。,방해하지 마! 지금 네 도움은 필요 없어.,够了！我不需要你帮我。,夠了！我不需要你幫我。
346,PC,Final Boss Outro,,Incorrecte.,Incorrect.,Inkorrekt.,Incorrecto.,Incorreto.,Неверный пароль.,一致しません。,틀렸습니다.,错误。,錯誤。
347,PC,Final Boss Outro,,Si us plau introdueixi la paraula de pas.,Veuillez saisir le mot de passe.,Bitte das Passwort eingeben.,"Por favor, introduce la contraseña.",Insira a senha.,Введите пароль.,パスワードを入力してください。,암호를 입력해주세요.,请输入密码。,請輸入密碼。
348,Kiki,Final Boss Outro,,Meeu...,Miaou...,Miau ...,Miau...,Miau...,Мяфф...,にゃおん...,야옹...,miao...,miao...
349,PC,Final Boss Outro,,Correcte.,Correct.,Korrekt.,Correcto.,Correto.,Верный пароль.,正解よ。,암호가 올바릅니다.,正确。,正確。
350,PC,Final Boss Outro,,Alliberant els tubs hidroglobulars.,Libération des tubes hydroglobulaires.,Hydroglobuläre Röhren werden freigegeben.,Liberando los tubos hidroglobulares.,Liberando Tubos Hidroglobulares.,Гидроглобулярная колба открыта.,培養チューブを開放します。,생체 보존관을 개방합니다.,正在释放水文球形管.,正在打開水文球形管.
351,Evil Gary,Final Boss Outro,,B-b-barkley!,B... Barkley !,B-b-barkley!,¡Ru-Ru-Rufo!,R-r-ralf!,Тяфка!,バ、バ、バウディ！,"머, 머, 멍뭉아!",汪—汪—汪科利！,汪—汪—汪科利！
352,Evil Gary,Final Boss Outro,,"Has de quedar-te al tub, la teva condició és inestable.","Reste dans ton tube, ton état n'est pas assez stable.",Du musst in der Röhre bleiben. Dein Zustand ist nicht stabil.,"Tienes que quedarte en el tubo, tu condición es inestable.","Você precisa ficar dentro do tubo, sua condição de saúde é instável.","Не ходи, ты очень нездоров, тебе нельзя.",出てはいけない、死んでしまうぞ！,"튜브 안에 있으렴, 네 상태는 불안정하단다.",你得待在管子里，你的状况太不稳定了。,你得待在管子裡，你的狀況太不穩定了。
353,Barkley,Final Boss Outro,,GGGGRRRRRR....,GGGGRRRRRR...,GGGGRRRRRR ...,GGGGRRRRRR...,GGGGRRRRRR....,Р-Р-Р-Р-Р-Р...,ガルルルルルルル...,그르르르르렁....,呜呜呜呜呜...,嗚嗚嗚嗚嗚...
354,Evil Gary,Final Boss Outro,,"Barkley, per què?  Que no em reconeixes?","Barkley, qu'est-ce qui te prend ?  Tu ne me reconnais pas ?","Wieso, Barkley?  Erkennst du mich nicht?","Rufo, ¿por qué?  ¿No me reconoces?","Ralf, por quê?  Não está me reconhecendo?","Что ты делаешь, Тяфка?  Ты меня не узнал?",バウディ、どうした？ わたしがわからないのか？,"멍뭉아, 왜?  나를 못 알아보는 거니?",汪科利，为什么？你不认得我了吗？,汪科利，為什麼？你不認得我了嗎？
355,Evil Gary,Final Boss Outro,,Sóc jo!,C'est moi !,Ich bin es!,¡Soy yo!,Sou eu!,Это же я!,わたしだ！,나야!,是我啊！,是我啊！
356,Barkley,Final Boss Outro,,Bub bub bub!,"Ouaf, ouaf, ouaf !",Wuff wuff wuff!,"¡Guau, guau, guau!",Ralf ralf ralf!,Вуф-вуф! Вуф!,バウバウバウ！,멍 멍 멍!,汪汪汪！！,汪汪汪！！
357,Evil Gary,Final Boss Outro,,"Sóc jo, Otto, el teu amic!","C'est Otto, ton ami !",Ich bin dein Freund Otto!,"¡Soy Otto, tu amigo!","É o Otto, seu amigo!","Это я, Отто, твой друг!",オットーだ、おまえの友だちだ！,"오토야, 네 친구!",我是奥托，你的朋友啊！,我是奧托，你的朋友啊！
358,Barkley,Final Boss Outro,,Bub bub bub!,"Ouaf, ouaf, ouaf !",Wuff wuff wuff!,"¡Guau, guau, guau!",Ralf ralf ralf!,Вуф-вуф! Вуф!,バウバウバウ！,멍 멍 멍!,汪汪汪！！,汪汪汪！！
359,Evil Gary,Final Boss Outro,,EL TEU AMO!,TON MAÎTRE !,DEIN HERRCHEN!,¡TU DUEÑO!,SEU AMO!,ТВОЙ ХОЗЯИН!,ご主人さまだ！,네  주 인 이 라 고 !,我是你的主人！,我是你的主人！
360,Barkley,Final Boss Outro,,Bub!,Ouaf !,Wau!,¡Ruf!,Au!,Гав!,バウーン！,컹!,汪呜！,汪嗚！
361,Evil Gary,Final Boss Outro,,Gahhhhhhhhh!,Aaaaah !,Gaaaaaaaaah!,¡Gaaaaaaaah!,Gahhhhhhhhh!,А-а-а-а-а!,ぐわあああああっ！,으아아아아!,呃啊啊啊啊！！,呃啊啊啊啊！！
362,Barkley,Final Boss Outro,,Bub! Bub!,Ouaf !  Ouaf !,Wau!  Wau!,¡Ruf!  ¡Ruf!,Au!  Au!,Вуф!  Вуф!,バウーン！バウーン！,컹!  컹!,汪呜！汪呜！,汪嗚！汪嗚！
363,Gary,Log Console 1,,Què és això?,Qu'est-ce que c'est ?,Was ist das?,¿Qué es esto?,O que é isso?,Это еще что такое?,これは何だ？,이건 뭐지?,这是什么？,這是什麼？
364,Dr. Heinrich,Log Console 1,,"Registre del laboratori del Dr. Heinrich, dia 424.","Journal scientifique du Dr Heinrich, jour 424.","Labor-Logbuch von Dr. Heinrich, Tag 424.","Diario del laboratorio del Dr. Heinrich, día 424.","Registro do Laboratório do Dr. Heinrich, dia 424.","Рабочий журнал доктора Хайнриха, день 424.",ハインリッヒ博士の研究日誌、424日目。,"하인리히 박사의 실험실 일지, 424일째.",海恩里希博士的实验室日志，第424天。,海恩里希博士的實驗室日誌，第424天。
365,Dr. Heinrich,Log Console 1,,Aquesta feina és esgotadora.,Cette mission est très éprouvante.,Diese Arbeit ist sehr beschwerlich.,Este trabajo es agotador.,Este trabalho exige muito de mim.,"Работать здесь куда сложнее, чем я думал.",あまりにつらい仕事だ。,이 일은 아주 힘들군.,这项任务太累人了。,這項任務太累人了。
366,Dr. Heinrich,Log Console 1,,Les ARMES DE DEFENSA que ens fan crear són inhumanes!,Les ARMES DÉFENSIVES qu'ils nous demandent de développer sont inhumaines !,"Die VERTEIDIGUNGSWAFFEN, die wir für sie entwickeln sollen, sind unmenschlich!",¡Las ARMAS DE DEFENSA que tenemos que desarrollar son inhumanas!,As ARMAS DE DEFESA que nos mandaram desenvolver são desumanas!,Разработка этого... ОБОРОНИТЕЛЬНОГО ОРУЖИЯ глубоко противна моей природе.,わたしが開発を任された防衛兵器は、 非人道的すぎる！,그들이 만들라고 우리에게 시키는 방어 무기는 비인간적이다!,他们让我们开发的防卫武器太不人道了！,他們讓我們開發的防衛武器太不人道了！
